Name,Version
aopalliance:aopalliance,1.0
base-files,12.4+deb12u4
ch.qos.logback:logback-classic,1.4.14
ch.qos.logback:logback-core,1.4.14
com.fasterxml.jackson.core:jackson-annotations,2.15.4
com.fasterxml.jackson.core:jackson-core,2.15.4
com.fasterxml.jackson.core:jackson-databind,2.15.4
com.fasterxml.jackson.datatype:jackson-datatype-jdk8,2.15.4
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.15.4
com.fasterxml.jackson.module:jackson-module-parameter-names,2.15.4
com.squareup.okhttp3:okhttp,4.12.0
com.squareup.okio:okio-jvm,3.6.0
commons-codec:commons-codec,1.16.0
debian,12.4
fontconfig-config,2.14.1-4
fonts-dejavu-core,2.37-6
in.hocg.boot:netty-core,0.4.0
io.micrometer:context-propagation,1.1.1
io.micrometer:micrometer-commons,1.12.3
io.micrometer:micrometer-core,1.12.3
io.micrometer:micrometer-jakarta9,1.12.3
io.micrometer:micrometer-observation,1.12.3
io.micrometer:micrometer-registry-prometheus,1.12.3
io.micrometer:micrometer-tracing,1.2.3
io.micrometer:micrometer-tracing-bridge-otel,1.2.4
io.netty:netty-buffer,4.1.107.Final
io.netty:netty-codec,4.1.107.Final
io.netty:netty-codec-dns,4.1.107.Final
io.netty:netty-codec-http,4.1.107.Final
io.netty:netty-codec-http2,4.1.107.Final
io.netty:netty-codec-socks,4.1.107.Final
io.netty:netty-common,4.1.107.Final
io.netty:netty-handler,4.1.107.Final
io.netty:netty-handler-proxy,4.1.107.Final
io.netty:netty-resolver,4.1.107.Final
io.netty:netty-resolver-dns,4.1.107.Final
io.netty:netty-resolver-dns-classes-macos,4.1.107.Final
io.netty:netty-resolver-dns-native-macos,4.1.107.Final-osx-x86_64
io.netty:netty-resolver-dns-native-macos,4.1.107.Final
io.netty:netty-transport,4.1.107.Final
io.netty:netty-transport-classes-epoll,4.1.107.Final
io.netty:netty-transport-native-epoll,4.1.107.Final
io.netty:netty-transport-native-epoll,4.1.107.Final-linux-x86_64
io.netty:netty-transport-native-unix-common,4.1.107.Final
io.opentelemetry.instrumentation:opentelemetry-instrumentation-api,1.31.0
io.opentelemetry.instrumentation:opentelemetry-instrumentation-api-semconv,1.31.0-alpha
io.opentelemetry.semconv:opentelemetry-semconv,1.21.0-alpha
io.opentelemetry:opentelemetry-api,1.31.0
io.opentelemetry:opentelemetry-api-events,1.31.0-alpha
io.opentelemetry:opentelemetry-context,1.31.0
